Unnamed: 0,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved,final_price
2022294,"yapral, Yapral",yapral,"3rd party, Property Science",,17.50621978,78.54053743,,3958.0,,Commercial Spaces,500087.0,,,,,no,
2022295,"yapral, Yapral",yapral,"3rd party, Property Science",,17.50621978,78.54053743,,4375.0,,Commercial Spaces,500087.0,Yapral,1745.0,,,no,7634375.0
2022296,"yapral, Yapral",yapral,"3rd party, Property Science",,17.50621978,78.54053743,,3958.0,,Commercial Spaces,500087.0,,,,,no,
2022297,"yapral, Yapral",yapral,"3rd party, Property Science",,17.50621978,78.54053743,,4375.0,,Commercial Spaces,500087.0,Yapral,1800.0,,,no,7875000.0
2022298,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",950.3,,,yes,8145021.3
2022299,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",1000.0,,,yes,8571000.0
2022300,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",950.0,,,yes,8142450.0
2022302,"GK Casa Grande, Yapral, Hyderabad",GK Casa Grande,"3rd party, Property Science",,17.514976,78.540068,,9286.0,,Stand Alone / Apartment,500078.0,"Yapral, Hyderabad",1623.7,,,no,15077678.200000001
2022303,"GKs Festoon, Sainikpuri, Hyderabad",GKs Festoon,"3rd party, Property Science",,17.49583817,78.53914642,,8571.0,,Gated community / Apartment,500094.0,"Sainikpuri, Hyderabad",1000.0,,,yes,8571000.0
2022304,"CNR Quality Signature, Alwal, Hyderabad",CNR Quality Signature,"3rd party, Property Science",,17.50117514,78.49625904,,7429.0,,Gated community / Apartment,500010.0,"Alwal, Hyderabad",627.9,,,yes,4664669.1
